metric,min_val,max_val
change_cs,-129210367.41115806,29309656.579328816
cs_per_trip,-11.057642477008166,2.7973626163726233
expense,459148614.6668526,491149927.37966704
keep_one,0.14356141762456082,0.2968964420216199
kept per trip,0.18444995855831148,0.48814886496416665
kept:released,0.10259762311450302,0.4110273750347422
mulen_keep,17.000091232978075,20.05968057351835
mulen_release,13.097822150557025,13.809472261922444
not overfished,1,1
not overfishing,0.8,1
ntrips,10950394.684742864,11715717.895060325
rec_removals,4281.4315,5870.499
spawning biomass,41288.8725,50261.495
total catch,11391.753499999999,11916.6005
trophy,0,0.020297250103992998
