#
#
1940	4322
1941	379
1942	1576
1943	2199
1944	4081
1945	4914
1946	5717
1947	4455
1948	4883
1949	5423
1950	6171
1951	6182
1952	7843
1953	8077
1954	8482
1955	7884
1956	8908
1957	8331
1958	8203
1959	8484
1960	8427
1961	7754
1962	6180
1963	5442
1964	4891
1965	4042
1966	5639
1967	5167
1968	3618
1969	2676
1970	3541
1971	3737
1972	3685
1973	6456
1974	9025
1975	10514
1976	13335
1977	11960
1978	11424
1979	15810
1980	12475
1981	8415
1982	9163
1983	11809
1984	15092
1985	12929
1986	10736
1987	10811
1988	12939
1989	8233
1990	4384
1991	6277
1992	7947
1993	5871
1994	6900
1995	7161
1996	6149
1997	4161
1998	5217
1999	5130
2000	5392
2001	5065
2002	6780
2003	6696
2004	8218
2005	7985
2006	6622
2007	4906
2008	4407
2009	5305
2010	6376
2011	7765
2012	6086
2013	5883
2014	5166
2015	5011
2016	3695
2017	2813
#
1940	583
1941	51
1942	213
1943	297
1944	551
1945	664
1946	772
1947	601
1948	659
1949	732
1950	833
1951	835
1952	1059
1953	1091
1954	1145
1955	1064
1956	1203
1957	1125
1958	1107
1959	1146
1960	1138
1961	1047
1962	834
1963	735
1964	660
1965	546
1966	761
1967	698
1968	488
1969	361
1970	478
1971	505
1972	498
1973	872
1974	1218
1975	1420
1976	1800
1977	1615
1978	1542
1979	2135
1980	1684
1981	1136
1982	1237
1983	1594
1984	2038
1985	1746
1986	1450
1987	1460
1988	1747
1989	462
1990	937
1991	221
1992	2271
1993	720
1994	1612
1995	849
1996	1507
1997	841
1998	656
1999	1773
2000	1718
2001	419
2002	978
2003	1204
2004	1698
2005	1560
2006	1591
2007	2298
2008	1225
2009	1611
2010	1550
2011	1181
2012	775
2013	891
2014	860
2015	725
2016	807
2017	964
#
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	0
1982	10758
1983	16665
1984	12803
1985	11405
1986	12005
1987	10638
1988	9429
1989	2566
1990	3517
1991	5854
1992	5746
1993	6228
1994	6481
1995	4090
1996	6813
1997	8403
1998	10368
1999	7573
2000	12259
2001	8417
2002	7388
2003	9746
2004	9616
2005	8412
2006	8452
2007	6300
2008	5597
2009	5288
2010	5142
2011	6116
2012	7318
2013	8806
2014	7364
2015	5366
2016	6005
2017	4766
#
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	0
1982	250
1983	356
1984	537
1985	184
1986	646
1987	668
1988	483
1989	84
1990	414
1991	617
1992	559
1993	703
1994	409
1995	589
1996	624
1997	663
1998	997
1999	1078
2000	1182
2001	1897
2002	1564
2003	1867
2004	1833
2005	1711
2006	1583
2007	1801
2008	1970
2009	2484
2010	2710
2011	2711
2012	2172
2013	2119
2014	2092
2015	1572
2016	1482
2017	1295
